study_id,experiment,participant,age_in_years,sex,species,session,trial,continuous_trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,13.0,61.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,14.0,62.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,15.0,63.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,16.0,64.0,control,yes,no,1.0,right,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,17.0,65.0,control,no,yes,1.0,right,0.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,18.0,66.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,19.0,67.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,20.0,68.0,control,no,yes,1.0,right,0.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,21.0,69.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,22.0,70.0,control,yes,no,1.0,right,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,23.0,71.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,ulindi,8.0,f,bonobo,6.0,24.0,72.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,1.0,1.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,2.0,2.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,3.0,3.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,4.0,4.0,control,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,5.0,5.0,control,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,6.0,6.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,7.0,7.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,8.0,8.0,control,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,9.0,9.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,10.0,10.0,control,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,11.0,11.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,1.0,12.0,12.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,13.0,13.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,14.0,14.0,control,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,15.0,15.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,16.0,16.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,17.0,17.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,18.0,18.0,control,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,19.0,19.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,20.0,20.0,control,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,21.0,21.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,22.0,22.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,23.0,23.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,2.0,24.0,24.0,control,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,1.0,25.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,2.0,26.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,3.0,27.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,4.0,28.0,control,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,5.0,29.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,6.0,30.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,7.0,31.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,8.0,32.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,9.0,33.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,10.0,34.0,control,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,11.0,35.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,3.0,12.0,36.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,13.0,37.0,control,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,14.0,38.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,15.0,39.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,16.0,40.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,17.0,41.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,18.0,42.0,control,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,19.0,43.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,20.0,44.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,21.0,45.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,22.0,46.0,control,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,23.0,47.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,4.0,24.0,48.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,1.0,49.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,2.0,50.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,3.0,51.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,4.0,52.0,control,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,5.0,53.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,6.0,54.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,7.0,55.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,8.0,56.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,9.0,57.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,10.0,58.0,control,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,11.0,59.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,5.0,12.0,60.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,13.0,61.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,14.0,62.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,15.0,63.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,16.0,64.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,17.0,65.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,18.0,66.0,control,yes,no,2.0,left,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,19.0,67.0,control,no,yes,1.0,right,0.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,20.0,68.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,21.0,69.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,22.0,70.0,control,yes,no,1.0,right,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,23.0,71.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,limbuko,6.0,m,bonobo,6.0,24.0,72.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,1.0,1.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,2.0,2.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,3.0,3.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,4.0,4.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,5.0,5.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,6.0,6.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,7.0,7.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,8.0,8.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,9.0,9.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,10.0,10.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,11.0,11.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,1.0,12.0,12.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,13.0,13.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,14.0,14.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,15.0,15.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,16.0,16.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,17.0,17.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,18.0,18.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,19.0,19.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,20.0,20.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,21.0,21.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,22.0,22.0,control,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,23.0,23.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,2.0,24.0,24.0,vision,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,1.0,25.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,2.0,26.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,3.0,27.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,4.0,28.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,5.0,29.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,6.0,30.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,7.0,31.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,8.0,32.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,9.0,33.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,10.0,34.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,11.0,35.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,3.0,12.0,36.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,13.0,37.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,14.0,38.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,15.0,39.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,16.0,40.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,17.0,41.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,18.0,42.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,19.0,43.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,20.0,44.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,21.0,45.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,22.0,46.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,23.0,47.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,4.0,24.0,48.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,1.0,49.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,2.0,50.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,3.0,51.0,control,no,yes,1.0,right,0.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,4.0,52.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,5.0,53.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,6.0,54.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,7.0,55.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,8.0,56.0,control,no,yes,1.0,right,0.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,9.0,57.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,10.0,58.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,11.0,59.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,5.0,12.0,60.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,13.0,61.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,14.0,62.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,15.0,63.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,16.0,64.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,17.0,65.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,18.0,66.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,19.0,67.0,control,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,20.0,68.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,21.0,69.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,22.0,70.0,control,yes,no,2.0,left,0.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,23.0,71.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,kuno,5.0,m,bonobo,6.0,24.0,72.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,1.0,1.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,2.0,2.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,3.0,3.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,4.0,4.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,5.0,5.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,6.0,6.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,7.0,7.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,8.0,8.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,9.0,9.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,10.0,10.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,11.0,11.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,1.0,12.0,12.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,13.0,13.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,14.0,14.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,15.0,15.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,16.0,16.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,17.0,17.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,18.0,18.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,19.0,19.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,20.0,20.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,21.0,21.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,22.0,22.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,23.0,23.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,2.0,24.0,24.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,1.0,25.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,2.0,26.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,3.0,27.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,4.0,28.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,5.0,29.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,6.0,30.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,7.0,31.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,8.0,32.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,9.0,33.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,10.0,34.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,11.0,35.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,3.0,12.0,36.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,13.0,37.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,14.0,38.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,15.0,39.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,16.0,40.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,17.0,41.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,18.0,42.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,19.0,43.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,20.0,44.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,21.0,45.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,22.0,46.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,23.0,47.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,4.0,24.0,48.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,1.0,49.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,2.0,50.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,3.0,51.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,4.0,52.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,5.0,53.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,6.0,54.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,7.0,55.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,8.0,56.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,9.0,57.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,10.0,58.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,11.0,59.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,5.0,12.0,60.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,13.0,61.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,14.0,62.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,15.0,63.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,16.0,64.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,17.0,65.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,18.0,66.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,19.0,67.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,20.0,68.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,21.0,69.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,22.0,70.0,control,yes,no,1.0,right,1.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,23.0,71.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,n’kwango,,m,gorilla,6.0,24.0,72.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,1.0,1.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,2.0,2.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,3.0,3.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,4.0,4.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,5.0,5.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,6.0,6.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,7.0,7.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,8.0,8.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,9.0,9.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,10.0,10.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,11.0,11.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,1.0,12.0,12.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,13.0,13.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,14.0,14.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,15.0,15.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,16.0,16.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,17.0,17.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,18.0,18.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,19.0,19.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,20.0,20.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,21.0,21.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,22.0,22.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,23.0,23.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’diki,24.0,f,gorilla,2.0,24.0,24.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,3.0,1.0,25.0,control,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,3.0,2.0,26.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,3.0,3.0,27.0,control,yes,no,2.0,left,0.0
call2004inferences,1,n’diki,24.0,f,gorilla,3.0,4.0,28.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,3.0,5.0,29.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,n’diki,24.0,f,gorilla,3.0,6.0,30.0,vision,yes,no,1.0,right,1.0
